Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
New,Delhi,Ind,852075.55,9,383502,18116,14086,182555,142738,0,270,28.5558863,77.2539484,2011
Mayapur,Ind,693738.50,24,272103,22389,92693,223828,248400,0,5441,23.4239515,88.3888704,2011
New,Delhi,Punj.,Ind,489642.00,17,230597,7860,4714,29244,62688,2448,0,28.5558863,77.2539484,2011
Mumbai-Juhu,Ind,405050.30,-14,183548,7462,18840,83290,2498,0,831,19.1130769,72.8262841,2011
Mumbai-Chowpatt,Ind,373842.35,57,156594,10912,8971,151369,60713,707,312,40.2671941,-86.1349019,2011
Tirupati,Ind,359280.95,62,129976,13490,4482,288289,96010,1013,0,13.647016,79.4138576,2011
Pune,Ind,223255.70,100,104481,1384,1888,35738,28980,53,38,18.5201045,73.8794015,2011
Ahmedabad,Ind,197056.50,43,96422,1618,1985,6186,555,0,47,23.0269849,72.5074278,2011
Moscow,Rus,196122.00,10,56610,37020,42320,71840,67620,0,0,55.755826,37.6173,2011
Vrindavan,Ind,193865.50,1,49110,37709,0,231386,216,36,368,27.5724445,77.6777441,2011
Pandharpur,Ind,124385.50,na,60677,449,0,3710,15600,50,20,17.6818218,75.3416258,2011
Surat,Ind,123718.75,12,47084,2560,712,18299,53780,8780,150,21.247382,72.7916082,2011
Los,Angeles,USA,122279.75,1,29938,28698,21409,81815,3475,500,7,34.02527630000001,-118.3971843,2011
RupanugaVedicCo,USA,117687.80,17,46111,14625,15169,12992,83,0,1,39.0321435,-94.56672979999999,2011
Catania,TSKP,Ita,100282.50,2,45693,0,17793,0,0,0,0,nodata-lat,nodata-lon,2011
VV,Nagar,Ind,90221.00,14,16930,595,391,15352,124158,20693,58,22.570385,72.96347899999999,2011
Salem,Ind,81329.15,37,37079,915,0,3675,15658,1314,441,11.7093308,78.0981054,2011
Chandigarh,Ind,69626.35,9,31871,3438,2864,3897,401,0,0,30.734255,76.761045,2011
Kolkata,Ind,67625.65,35,31244,2145,1682,5647,7254,5,78,22.5238452,88.32745720000001,2011
Nizhny,Novgorod,Rus,65510.65,66,25476,10471,5154,5459,1459,0,0,56.2965039,43.9360589,2011
London-Soho,Eng,61673.25,13,24771,3329,9161,16887,0,0,1,51.515823,-0.1326938,2011
Bhaktivedanta,Eng,59901.25,22,18710,3199,30258,16613,0,0,15,19.1130769,72.8262841,2011
