Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Mayapur,Ind1410295.10,116,557660,148215,122943,287942,33053,5262,15122,23.4239515,88.3888704,2014
New,Delhi,Ind1370123.00,33,616846,14937,36372,331366,204665,0,696,28.5558863,77.2539484,2014
Mumbai-Juhu,Ind,598874.25,-8,271743,11347,32459,111247,0,0,1362,19.1130769,72.8262841,2014
New,Delhi,Punj.,Ind,544970.25,54,250673,5792,4392,93483,65921,2986,573,28.5558863,77.2539484,2014
Pune,Ind,408070.55,53,191676,3077,3233,58029,27595,1432,47,18.5201045,73.8794015,2014
Mumbai-Chowpatt,Ind,346978.25,-14,153588,6178,6259,117931,5959,219,239,40.2671941,-86.1349019,2014
Tirupati,Ind,225670.35,-2,73754,8766,7141,162817,144949,5593,0,13.647016,79.4138576,2014
Los,Angeles,USA,222054.60,30,74468,29855,46191,56634,13456,1060,100,34.02527630000001,-118.3971843,2014
Ahmedabad,Ind,179447.75,-6,86885,0,2975,11185,4250,510,163,23.0269849,72.5074278,2014
Moscow,Rus,167881.00,-45,60421,21875,26133,48390,0,0,0,55.755826,37.6173,2014
Surat,Ind,158051.20,20,60141,3346,2165,51284,50556,8139,283,21.247382,72.7916082,2014
Vrindavan,Ind,138745.75,-49,9852,50370,35527,203633,0,0,286,27.5724445,77.6777441,2014
Moscow-Jagannat,Rus,133912.75,na,59905,7432,6800,13083,0,0,0,55.755826,37.6173,2014
Chennai,Ind,112625.10,132,48487,5334,6914,25098,5856,0,38,12.9060595,80.241614,2014
Sankirtan,Dham,Ita,108543.00,85,42992,3854,37410,0,0,0,0,43.7695604,11.2558136,2014
Bhaktivedanta,Eng,100779.25,67,38521,1849,38348,10857,0,0,82,19.1130769,72.8262841,2014
Krasnodar,Rus,95453.75,-11,22901,21731,28153,55377,0,0,0,45.03926740000001,38.987221,2014
VV,Nagar,Ind,90559.95,52,22127,1771,2647,19643,93333,15246,124,22.570385,72.96347899999999,2014
Chandigarh,Ind,90496.25,15,41662,3914,3261,4891,1200,150,0,30.734255,76.761045,2014
Salem,Ind,87592.05,-3,37374,4362,241,14405,13954,1771,410,11.7093308,78.0981054,2014
RupanugaVedicCo,USA,87330.80,-7,33105,14333,3533,9518,26418,0,0,39.0321435,-94.56672979999999,2014
Silicon,Valley,USA,84750.75,2,41295,570,0,6363,0,0,594,13.010473,77.551074,2014
Simhacalam,NJN,Ger,56933.50,0,17307,14517,15605,0,0,0,0,48.7316584,13.6908547,2014
St.,Petersburg,Rus,55669.50,-18,16285,12423,12982,16742,0,0,0,16.2993518,80.4131511,2014
London-Soho,Eng,49565.75,54,16180,2185,18079,23925,0,0,36,51.515823,-0.1326938,2014
Centro,Goura,Ni,Bra,45436.00,63,530,33983,17286,7000,0,0,0,27.7840013,85.3564899,2014
Denver,USA,43850.05,29,18798,2545,2265,9181,2813,0,182,39.7392358,-104.990251,2014
Coimbatore,Ind,43008.50,18,16204,3804,444,17498,13280,380,0,11.0404339,77.0284562,2014
Kolkata,42064.05,-34,20230,501,650,3059,133,0,0,22.5238452,88.32745720000001,2014
Cueramaro,Mex,41574.75,-4,2817,9673,5053,94965,0,0,0,21.0190145,-101.2573586,2014
Nizhny,Novgorod,Rus,41024.25,na,15292,7932,4392,1249,0,0,0,56.2965039,43.9360589,2014
Sydney-North,Aus,40463.10,0,17326,2569,4750,3412,141,0,32,-33.8386344,151.2071142,2014
Nairobi,Ken,40390.25,17,8524,5848,6907,55957,515,0,8,-1.2920659,36.8219462,2014
Omsk,Rus,40265.00,96,14598,5126,5072,13628,0,0,0,54.9884804,73.32423620000002,2014
Toronto,Can,37200.90,9,10198,5179,9905,22604,1336,202,111,43.6769305,-79.3973269,2014
Ujjain,Ind,36884.25,na,11339,5794,8798,15783,200,25,112,23.1615813,75.7991949,2014
Baroda,Ind,36601.30,98,14685,5,2892,2766,11982,1799,149,22.2951255,73.1523084,2014
Habarovsk,Rus,36300.50,-2,12106,6551,5782,10586,0,0,0,48.5027313,135.0662599,2014
Irkutsk,Rus,34754.75,324,8059,8865,11529,16029,0,0,0,52.28697409999999,104.3050183,2014
Gainesville,USA,31236.80,na,9123,6546,8811,8106,128,0,22,29.6516344,-82.32482619999999,2014
