Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
New,Delhi,Ind1025016.80,20,464604,15294,27565,205998,152328,0,253,28.5558863,77.2539484,2012
Mayapur,Ind,776945.00,12,295801,32798,77431,328710,316520,0,3611,23.4239515,88.3888704,2012
New,Delhi,Punj.,Ind,532852.00,9,250778,4374,1231,61546,62688,2448,0,28.5558863,77.2539484,2012
Mumbai-Juhu,Ind,510804.00,26,232100,9393,21359,106126,0,0,1440,19.1130769,72.8262841,2012
Mumbai-Chowpatt,Ind,352100.45,-6,148668,8637,6240,149817,37273,961,228,40.2671941,-86.1349019,2012
Tirupati,Ind,276901.60,-23,99095,13011,8699,208692,70634,1113,0,13.647016,79.4138576,2012
Ahmedabad,Ind,244745.95,na,117320,832,4921,14739,8506,1199,247,23.0269849,72.5074278,2012
Moscow,Rus,229459.85,17,83319,30962,30350,51373,38416,0,0,55.755826,37.6173,2012
Pune,Ind,228008.30,2,102861,3601,4841,46316,43602,149,130,18.5201045,73.8794015,2012
Catania,TSKP,Ita,215996.00,115,89109,0,75556,0,0,0,0,nodata-lat,nodata-lon,2012
Vrindavan,Ind,193008.00,0,47606,56404,0,165568,0,0,288,27.5724445,77.6777441,2012
Los,Angeles,USA,145114.10,19,47910,24617,17387,59448,11216,0,24,34.02527630000001,-118.3971843,2012
Surat,Ind,137764.80,11,50494,2200,2431,23964,69814,10731,250,21.247382,72.7916082,2012
Pandharpur,Ind,127248.50,2,53362,4217,1350,56510,15050,0,15,17.6818218,75.3416258,2012
Salem,Ind,113670.35,40,49899,3384,86,7107,26627,3161,835,11.7093308,78.0981054,2012
RupanugaVedicCo,USA,109449.60,-7,42189,17020,9095,13422,1486,0,0,39.0321435,-94.56672979999999,2012
VV,Nagar,Ind,108282.75,20,28025,1547,1403,15947,110394,18399,24,22.570385,72.96347899999999,2012
Kolkata,Ind,98570.80,46,46723,1353,2362,6036,10818,0,74,22.5238452,88.32745720000001,2012
Mumbai-Kharghar,Ind,97462.50,na,47000,1275,600,7550,0,0,0,40.2671941,-86.1349019,2012
Chandigarh,Ind,88903.75,28,41211,3748,3124,4687,0,0,0,30.734255,76.761045,2012
Bhaktivedanta,Eng,65580.00,9,22726,305,35876,7540,0,0,12,19.1130769,72.8262841,2012
San,Jose,USA,64731.50,29,26184,4275,1369,29236,114,19,151,32.795926,-117.2506437,2012
Mexico,City,Mex,56736.50,-3,4073,3402,7797,165160,0,0,3,19.4129014,-99.1859023,2012
Nizhny,Novgorod,Rus,56325.75,-14,20851,10350,5757,5561,50,0,0,56.2965039,43.9360589,2012
Kiev,Ukr,44541.75,255,11969,1159,25046,27687,0,0,0,50.4501,30.5234,2012
St.,Petersburg,Rus,43982.25,-15,14407,9542,7259,7987,0,0,0,16.2993518,80.4131511,2012
Dnepropetrovsk,Ukr,43517.50,226,16670,2309,10972,9530,0,0,0,48.464717,35.046183,2012
London-Soho,Eng,39696.25,-36,16407,959,4435,14823,0,0,1,51.515823,-0.1326938,2012
Toronto,Can,37362.85,45,14120,1611,4729,19585,707,41,32,43.6769305,-79.3973269,2012
Milan,Ita,36614.40,141,9436,0,35470,0,74,0,0,19.8818535,75.36736049999999,2012
Krasnodar,Rus,34170.40,666,5926,10628,12442,21272,1514,0,0,45.03926740000001,38.987221,2012
San,Diego,USA,29254.50,75,5211,15197,3191,8160,0,0,0,32.795926,-117.2506437,2012
Trivandrum,Ind,27719.25,44,12385,120,928,3541,3760,535,49,8.5241391,76.9366376,2012
Nairobi,Ken,26608.70,15,6841,5137,960,28104,1450,73,6,-1.2920659,36.8219462,2012
Kanyakumari,Ind,26148.20,73,11485,1844,260,1062,4694,247,23,14.7189305,77.6043846,2012
Habarovsk,Rus,25397.25,74,6001,7173,6841,11207,0,0,0,48.5027313,135.0662599,2012
Villa,Vrndavana,Ita,25384.20,115,8596,0,16323,2,302,0,0,9.076873899999999,-79.5236749,2012
Denver,USA,23464.75,58,7473,4300,1336,12543,4150,0,46,39.7392358,-104.990251,2012
Leipzig,Ger,22635.50,-4,6217,7066,6271,0,0,0,0,51.3396955,12.3730747,2012
Kazan,Rus,22131.75,38,3692,6283,8717,15001,3560,0,0,55.8304307,49.06608060000001,2012
Durban,SA,21533.60,88,2076,758,1300,61514,979,113,19,-29.85868039999999,31.0218404,2012
Hyderabad,Ind,20791.75,152,2230,258,307,2681,22200,3700,13,17.4421017,78.5054536,2012
Almaty,Kaz,20617.50,-42,4398,5053,7462,12150,0,0,0,43.2220146,76.8512485,2012
Madurai,Ind,20602.00,2,10023,111,137,1506,0,0,0,9.9268646,78.114384,2012
Prabhupada,Desh,Ita,20548.70,91,8061,0,8832,0,107,0,0,22.5238452,88.32745720000001,2012
