Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Chittagong-Prab,Ban,20060.65,na,5060,4360,2531,17233,69,0,59,39.267045,-76.73010339999999,2012
Phoenix,Mau,19608.50,-15,2226,746,5780,46082,0,0,24,-20.2758399,57.4958773,2012
Washington,D.C.,USA,19011.95,33,3689,1913,5352,22099,14982,5,58,45.5286088,-122.9893517,2012
New,Jersey-Edis,USA,17893.50,30,8838,43,0,118,174,29,186,28.5558863,77.2539484,2012
Dhaka-Swamibag,Ban,17703.35,194,8103,1081,705,175,201,0,0,nodata-lat,nodata-lon,2012
Auckland,Loft,NZ,17473.75,23,4090,6202,1484,9399,0,0,12,-36.770624,174.596258,2012
Minsk,Bel,16874.25,15,2865,4427,6379,14111,0,0,0,53.90453979999999,27.5615244,2012
Berlin,Ger,16587.70,-15,4765,2628,8856,0,17,0,0,52.5448365,13.4942561,2012
Odessa,Ukr,16241.50,307,6508,70,4922,2778,0,0,0,46.482526,30.7233095,2012
Chicago,USA,15915.50,265,5175,2998,1293,7684,0,0,0,42.00934580000001,-87.6730144,2012
Perm,Rus,15258.10,8,5259,1680,5228,1732,131,0,0,58.02968129999999,56.2667916,2012
Centro,Goura,Ni,Bra,15183.00,99,321,7359,12940,2848,0,0,0,27.7840013,85.3564899,2012
Rome,Ita,15121.60,31,5234,0,9305,0,11,0,0,45.3609559,11.5891328,2012
Laguna,Beach,USA,14521.35,61,5473,490,387,9173,5590,9,26,33.5400038,-117.7806511,2012
Melbourne,Aus,14250.95,-5,5304,2004,1061,4433,2,0,0,28.0836269,-80.60810889999999,2012
Prague,Cze,12355.45,-25,699,8667,133,7911,2462,0,0,50.0755381,14.4378005,2012
Kathmandu,Nep,12047.00,-64,5239,363,1022,2780,0,0,0,27.7840013,85.3564899,2012
Kaunas,Lit,11866.75,20,3183,1625,404,14695,0,0,0,54.8985207,23.9035965,2012
Alachua,USA,11549.60,na,2942,376,3841,10126,8332,1,17,29.7938144,-82.49442260000001,2012
Boston,USA,11441.25,110,3773,2154,662,5641,0,0,0,42.3523896,-71.0750587,2012
Tirunelveli,Ind,11431.75,21,5356,375,72,1235,0,0,0,8.727765999999999,77.7236288,2012
Ekaterinburg,Rus,11424.00,-28,1535,2387,6108,8452,8000,0,0,56.83892609999999,60.6057025,2012
Donetsk,Ukr,11331.75,170,2893,83,4412,13027,0,0,0,48.015883,37.80285,2012
Barnaul,Rus,11277.75,-41,1847,2530,4949,9561,1890,0,0,53.3547792,83.76978319999999,2012
Terni,Ita,11179.50,8,5420,0,659,40,0,0,0,42.5636168,12.6426604,2012
Bali,Ind,10983.90,-22,4445,295,989,4274,2359,0,0,-8.700452,115.241134,2012
Kanpur,Ind,10763.35,na,4367,507,1110,2323,940,154,2,26.5265881,80.2783003,2012
Franco,da,Rocha,Bra,10710.50,-36,565,3326,2484,20010,100,0,0,40.4167754,-3.7037902,2012
Irkutsk,Rus,10650.80,-3,1536,3180,4119,8908,1123,0,0,52.28697409999999,104.3050183,2012
Novorosiysk,Rus,10603.75,na,1203,2787,5869,8457,3620,0,0,nodata-lat,nodata-lon,2012
Kharkov,Ukr,10519.00,101,3544,93,3207,6938,0,0,0,49.9935,36.230383,2012
Vladivostok,Rus,10494.50,na,2036,2499,4311,6766,765,0,0,43.1737387,132.0064506,2012
Herson,Ukr,10305.50,383,3796,199,2432,5194,0,0,0,24.2300583,91.24062219999999,2012
Prabhupada,Bhav,Cze,10174.25,-18,463,8856,104,1361,0,0,0,22.5238452,88.32745720000001,2012
Novosibirsk,Rus,10106.75,na,1578,3142,4344,6547,0,0,0,55.00835259999999,82.9357327,2012
Ujjain,Ind,9751.00,-62,3292,1181,1816,4312,0,0,40,23.1615813,75.7991949,2012
Malaysia,BBT,MO,Mal,9424.60,75,2744,1185,1688,7202,1071,0,45,4.210484,101.975766,2012
Simferopol,Ukr,9343.75,74,3660,125,1928,3739,0,0,0,44.952117,34.102417,2012
New,Talavan,USA,9235.75,-41,3824,0,2352,1647,0,0,1,28.5558863,77.2539484,2012
Omsk,Rus,9049.00,-33,2891,1083,1539,5658,0,0,0,54.9884804,73.32423620000002,2012
Wellington,NZ,8681.00,52,2443,3145,195,2210,0,0,14,-41.2864603,174.776236,2012
New,Vrajadham-H,Hun,8445.30,-70,1568,1514,6535,550,3903,0,0,28.5558863,77.2539484,2012
Essentuki,Rus,8162.75,-31,976,1394,4407,10453,0,0,0,44.0455121,42.8575232,2012
Kuala,Lumpur,Mal,8068.45,-15,1823,908,761,12239,742,0,20,3.139003,101.686855,2012
Yaroslavl,Rus,7919.75,-55,2812,1411,986,1567,0,0,0,57.62607440000001,39.8844708,2012
Belo,Horizonte,Bra,7917.75,122,648,1471,2124,16355,0,0,0,-19.9166813,-43.9344931,2012
Sochi,Rus,7853.65,100,1093,1974,3492,6545,3114,0,0,43.60280789999999,39.7341543,2012
Heidelberg,Ger,7832.00,12,2108,1144,4944,0,0,0,0,49.3987524,8.6724335,2012
Chennai,Ind,7610.35,-84,3179,267,217,3445,156,0,0,12.9060595,80.241614,2012
Cintamani,Dhama,USA,7592.00,na,2466,2226,379,978,0,0,0,10.8522731,78.68982729999999,2012
Kishinev,Ukr,7470.75,296,1805,803,3746,4739,0,0,0,47.0104529,28.8638103,2012
Rostov-na-Donu,Rus,7166.25,24,916,2206,3490,5533,0,0,0,47.2357137,39.701505,2012
Krasnoyarsk,Rus,7156.00,-3,1012,2194,3256,5240,0,0,0,56.01528339999999,92.8932476,2012
New,Vrindavan,USA,7123.50,-34,2704,625,1682,998,0,0,0,28.5558863,77.2539484,2012
BTG/Krishna.com,USA,6812.00,-34,687,135,343,466,6018,1003,21,nodata-lat,nodata-lon,2012
Vilnius,Lit,6568.50,-30,1601,1491,569,6364,0,0,0,54.6871555,25.2796514,2012
Valsad,Ind,6536.95,na,2997,139,325,429,411,49,41,20.378366,72.9395289,2012
Philadelphia,USA,6475.00,na,2448,185,264,4944,260,0,15,40.0603719,-75.1932638,2012
Sofia,Bul,5967.75,-10,1878,1489,0,2891,0,0,0,42.6977082,23.3218675,2012
New,Orleans,USA,5836.00,-41,80,0,7374,7956,0,0,0,28.5558863,77.2539484,2012
Santiago,Chi,5790.25,-35,34,26,3111,16563,0,0,0,42.8782132,-8.5448445,2012
Trincomalee,Sri,5769.65,na,2269,563,773,587,1354,0,2,8.5922,81.19679579999999,2012
Baroda,Ind,5435.00,-88,1075,1480,670,2100,2268,378,18,22.2951255,73.1523084,2012
Berkeley,USA,5322.85,193,1348,665,1522,2983,3715,19,8,37.8591369,-122.2603082,2012
Bangkok,Tha,5263.30,27,510,0,375,630,38983,0,0,13.7563309,100.5017651,2012
Hillsborough,,N,USA,5164.25,na,1904,198,1249,2135,0,0,3,45.5286088,-122.9893517,2012
Monterrey,Mex,5022.75,na,160,231,901,16085,0,0,0,25.6866142,-100.3161126,2012
Itajai,Bra,5009.25,-26,294,325,256,15777,240,0,0,-26.9105964,-48.6709514,2012
Ljubljana,Slo,4612.75,na,803,1225,2084,2959,0,0,0,46.0569465,14.5057515,2012
Ottawa,Can,4523.25,na,2164,51,106,113,102,12,11,45.4215296,-75.69719309999999,2012
Bon,Accueil,Mau,4506.25,na,495,223,352,12469,0,0,0,-20.1756651,57.67897369999999,2012
Budapest,Hun,4409.35,-68,971,670,1852,1587,4746,0,0,47.497912,19.040235,2012
Halifax,Can,4365.25,na,726,238,3004,4693,0,0,0,nodata-lat,nodata-lon,2012
Vancouver,Can,4329.00,-14,1149,299,2084,1268,562,72,2,45.6387281,-122.6614861,2012
Dublin,Ire,4214.75,na,116,2113,277,6925,0,0,0,53.3498053,-6.2603097,2012
Sarajevo,Bos,4160.00,na,1742,538,143,266,0,0,0,43.8562586,18.4130763,2012
Sydney-North,Aus,3987.80,na,1698,332,79,858,58,0,5,-33.8386344,151.2071142,2012
Bhakti,Sangam,F,Ukr,3897.50,na,1529,37,945,1320,0,0,0,20.951311,72.92532299999999,2012
Malaysia,TSKP,Mal,3872.60,22,1228,354,212,3704,306,0,13,4.210484,101.975766,2012
Nellore,Ind,3846.50,38,0,1098,973,9048,0,0,0,14.4230197,79.9794161,2012
Izevsk,Rus,3738.10,-1,1316,471,608,1264,151,0,0,56.86186009999999,53.2324285,2012
Bologna,Ita,3599.00,-2,1331,0,1874,0,0,0,0,44.494887,11.3426163,2012
Chelyabinsk,Rus,3546.50,-27,1023,524,1337,1232,0,0,0,55.1644419,61.4368431,2012
Miami,USA,3374.30,3,523,224,601,4838,5063,20,1,25.7616798,-80.1917902,2012
Montevideo,Uru,3239.25,-45,27,153,0,12129,0,0,2,-34.9011127,-56.16453139999999,2012
Dallas,USA,3228.75,25,881,557,1069,1381,36,6,2,32.7766642,-96.79698789999999,2012
Lenasia,SA,3112.50,-71,355,290,546,7358,0,0,0,-26.331,27.8776,2012
Coimbatore,Ind,3087.50,-89,1079,200,160,1798,2000,0,0,11.0404339,77.0284562,2012
New,Ekacakra,Pr,SVK,3083.50,-88,63,2897,0,242,0,0,0,28.5558863,77.2539484,2012
Simhacalam,NJN,Ger,3031.50,na,478,992,2167,0,0,0,0,48.7316584,13.6908547,2012
Berea,USA,3028.75,na,874,970,322,599,0,0,0,-29.8518472,30.9933678,2012
Houston,USA,2933.60,na,985,343,751,968,31,0,15,29.7604267,-95.3698028,2012
New,York,City,USA,2875.00,na,400,100,100,4500,8000,0,0,28.5558863,77.2539484,2012
Cueramaro,Mex,2843.25,na,190,236,1292,6325,0,0,0,21.0190145,-101.2573586,2012
Atlanta,USA,2826.00,-10,1183,280,175,370,0,0,0,33.77346989999999,-84.3451908,2012
Helsinki,Fin,2820.75,-65,440,1881,57,41,210,0,0,60.17332440000001,24.9410248,2012
Curitiba,Bra,2761.00,288,271,677,936,4296,0,0,0,-25.4289541,-49.267137,2012
Tyumen,Rus,2736.75,na,649,713,1308,287,0,0,0,57.1612975,65.5250172,2012
Kinshasa,Con,2688.75,50,298,698,295,389,11500,0,0,-4.4419311,15.2662931,2012
Guadalajara,Mex,2688.50,na,16,280,0,9506,0,0,0,20.6596988,-103.3496092,2012
Madrid,Spa,2433.25,0,538,1141,16,833,0,0,0,40.4167754,-3.7037902,2012
Centro,Studi,Bh,Ita,2428.00,157,1194,0,80,0,0,0,0,27.7840013,85.3564899,2012
Vrajabhumi,Bra,2388.75,na,303,93,120,6519,0,0,0,48.1458923,17.1071373,2012
Brisbane,Aus,2315.90,-60,206,549,2298,626,494,0,7,-27.54291,152.95828,2012
Kisumu,Ken,2142.30,na,812,128,153,1086,138,15,0,-0.0917016,34.7679568,2012
German,Congrega,Ger,2123.50,1,463,669,971,0,430,0,0,52.5448365,13.4942561,2012
Ivanovo,Rus,1973.75,44,481,133,1391,733,0,0,0,57.0050671,40.9766453,2012
Sarov,Rus,1946.25,109,507,575,413,603,0,0,0,54.9342792,43.3252503,2012
Munich,Ger,1936.50,-66,123,185,3011,0,0,0,0,48.1351253,11.5819806,2012
Vellore,Ind,1877.50,-90,570,100,0,1350,3000,0,20,12.9008515,79.0465825,2012
Krishna,Culture,USA,1824.20,-37,634,127,642,416,42,0,21,19.1130769,72.8262841,2012
N-Tagil,Rus,1761.25,-46,281,84,1120,2221,0,0,0,56.1445956,40.4178686,2012
Kursk,Rus,1748.75,-6,485,194,1107,125,0,0,0,51.7091957,36.1562241,2012
Siliguri,Ind,1746.00,na,593,65,412,1156,0,0,0,26.7059816,88.4282252,2012
Bukit-Mertajam,Mal,1583.00,89,516,19,13,2102,0,0,2,-26.0431661,28.0552003,2012
Tiraspol,Ukr,1573.75,414,290,17,1266,1375,0,0,0,46.84818500000001,29.596805,2012
Jeleznogorsk,Rus,1553.30,40,290,511,388,1060,33,0,0,39.39987199999999,-8.224454,2012
Kampala,Uga,1544.90,na,511,131,138,1286,14,0,0,0.3163918,32.5910497,2012
Brazil,TSKP,Bra,1517.50,na,72,86,64,5022,0,0,0,57.0306605,40.3779445,2012
Lugansk,Ukr,1506.25,428,431,0,470,1637,0,0,0,48.574041,39.307815,2012
New,York,Queens,USA,1496.25,-25,615,100,0,665,0,0,0,28.5558863,77.2539484,2012
Lvov,Ukr,1431.75,999,459,33,528,867,0,0,16,49.839683,24.029717,2012
Accra,Gha,1410.30,4,92,385,551,1064,2998,0,0,5.6037168,-0.1869644,2012
Samara,Rus,1326.75,-82,192,412,567,989,0,0,0,53.2415041,50.2212463,2012
Rovno,Ukr,1326.75,-30,261,87,955,961,0,0,0,50.6199,26.251617,2012
New,Jersey-Towa,USA,1307.00,na,0,1209,0,392,0,0,13,28.5558863,77.2539484,2012
Perth,Aus,1306.25,-68,232,226,845,775,0,0,3,-31.98783,116.065079,2012
Argentina,TSKP,Arg,1287.25,na,114,101,0,3833,0,0,0,nodata-lat,nodata-lon,2012
Alchevsk,Ukr,1286.50,23,392,20,465,1000,0,0,0,48.4713393,38.8134407,2012
Kirov,Rus,1256.00,na,189,339,771,614,0,0,0,58.6035321,49.6667983,2012
Recife,Bra,1213.50,na,80,42,284,3162,790,0,0,-8.0578381,-34.8828969,2012
Skudai,Mal,1177.35,9,325,141,130,1263,56,0,4,-22.9068467,-43.1728965,2012
Kulim,Mal,1117.55,na,182,32,5,2845,78,0,1,nodata-lat,nodata-lon,2012
Arusha,Tan,1111.00,na,180,31,420,2040,0,0,0,-3.372301,36.6944136,2012
Chosica,Per,1109.25,na,11,133,18,3781,0,0,0,-11.9456792,-76.7103034,2012
Zurich,Swi,1086.25,-54,358,295,97,107,0,0,2,47.3686498,8.539182499999999,2012
New,Vrajadham-B,Bra,1059.95,-25,93,223,400,1787,42,0,0,28.5558863,77.2539484,2012
Blantyre,Mal,1011.50,90,375,97,13,632,0,0,0,27.5759477,77.70085089999999,2012
New,Govardhana,Aus,1000.00,-23,187,136,250,1440,50,0,0,28.5558863,77.2539484,2012
Rio,de,Janeiro,Bra,998.50,-72,110,219,137,1964,0,0,0,-23.3233727,-46.7294577,2012
Mombasa,Ken,971.00,-1,151,508,200,244,0,0,0,-4.0434771,39.6682065,2012
Petrolina,Bra,957.00,na,316,142,30,672,0,0,0,-9.389083,-40.5030961,2012
Seremban,Mal,948.25,71,328,65,45,761,145,0,2,1.537909,103.6622279,2012
Smolensk,Rus,948.00,41,322,5,598,0,0,0,0,54.7903112,32.0503663,2012
Penang,Mal,938.00,54,152,262,191,1102,10,0,4,5.414921,100.3297612,2012
Berezniki,Rus,934.25,na,316,85,190,489,0,0,0,59.41318270000001,56.7849318,2012
Osijek,Cro,933.50,-61,29,286,483,1392,0,0,0,45.5549624,18.6955144,2012
Kovrov,Rus,908.00,-22,265,290,115,122,0,0,0,56.356769,41.3226311,2012
Austin,USA,863.95,na,349,50,104,255,2,0,0,30.267153,-97.7430608,2012
Baltimore,USA,832.75,na,311,0,115,613,0,0,3,39.267045,-76.73010339999999,2012
Scarborough,Can,829.00,na,300,1,35,842,0,0,2,54.283113,-0.399752,2012
Magnitogorsk,Rus,823.75,-65,154,190,416,471,0,0,0,53.4129429,59.00162330000001,2012
Brampton,Can,817.20,na,278,62,196,264,88,6,0,43.7315479,-79.7624177,2012
Nikolaev,Ukr,812.25,499,207,31,569,331,0,0,33,42.2808256,-83.7430378,2012
Vinniza,Ukr,743.00,151,156,14,434,800,0,0,0,6.1248,100.3678178,2012
Shanghai,Chi,711.00,67,340,31,0,0,0,0,0,31.230416,121.473701,2012
Goloka,Dhama,Ger,708.00,-78,13,502,360,0,0,0,0,55.4649113,65.3053512,2012
NY,Long,Island,USA,665.50,na,126,77,324,698,0,0,0,40.6876197,-73.9820883,2012
Bandar,Putra,Mal,618.75,na,10,50,50,2095,0,0,0,19.4129014,-99.1859023,2012
Govindadvipa,Ire,601.50,na,0,419,29,672,0,0,0,54.19624,-7.57145,2012
Luzk,Ukr,578.00,27,130,27,279,606,0,0,0,50.74723299999999,25.325383,2012
Port,Elizabeth,SA,558.00,na,98,133,227,462,0,0,0,-33.941376,25.5712756,2012
Amsterdam,Hol,547.75,-34,195,35,17,457,0,0,4,52.3498057,4.8876054,2012
New,Gokula-Braz,Bra,547.75,11,102,0,35,1305,0,0,0,28.5558863,77.2539484,2012
Kurgan,Rus,539.00,na,167,24,24,676,0,0,0,57.9371145,59.96003629999999,2012
Tula,Rus,534.45,-36,191,37,156,149,2,0,0,54.204836,37.6184915,2012
Lima,Per,526.25,-5,0,11,6,2049,0,0,0,-11.9456792,-76.7103034,2012
Hartford,USA,509.85,na,63,45,178,997,6,0,1,41.7839226,-72.63412199999999,2012
Ann,Arbor,USA,496.35,na,170,75,80,165,1,0,0,42.2808256,-83.7430378,2012
Pretoria,SA,469.50,-30,50,53,88,1090,0,0,0,-25.7478676,28.2292712,2012
Zagreb,Cro,461.50,-75,59,47,204,778,0,0,0,45.8150108,15.981919,2012
Calgary,Can,427.25,-18,108,136,95,111,0,0,0,51.0486151,-114.0708459,2012
Vladimir,Rus,409.00,-42,168,18,73,74,0,0,0,49.233083,28.468217,2012
Cape,Town,SA,394.95,-54,13,42,81,1005,44,7,1,-33.9248685,18.4240553,2012
Benelux,TSKP,Hol,393.25,-94,92,177,14,101,0,0,1,nodata-lat,nodata-lon,2012
Tulancingo,Mex,390.50,na,15,1,54,1330,0,0,0,nodata-lat,nodata-lon,2012
Phoenix,SA,380.00,-32,108,14,8,584,0,0,0,-20.2758399,57.4958773,2012
Khmelnitsky,Ukr,364.50,1,85,19,230,242,0,0,0,nodata-lat,nodata-lon,2012
Cologne,Gaurade,Ger,341.50,21,109,73,101,0,0,0,0,50.937531,6.9602786,2012
Porto,Alegre,Bra,336.75,-89,10,206,22,399,0,0,0,-33.941376,25.5712756,2012
Simpang,Empat,Mal,326.85,na,53,16,69,677,11,0,1,nodata-lat,nodata-lon,2012
Blagovestensk,Rus,322.00,-70,90,100,64,40,0,0,0,nodata-lat,nodata-lon,2012
Chernigov,Ukr,304.25,108,106,11,62,201,0,0,0,51.4982,31.28935,2012
Klang,Mal,301.00,-53,53,49,18,524,60,0,1,3.044917,101.4455621,2012
Ipoh,Mal,293.35,10,100,7,32,263,46,0,0,nodata-lat,nodata-lon,2012
Pskov,Rus,290.75,-37,18,189,129,5,0,0,0,57.8166994,28.3344734,2012
Voronej,Rus,288.25,-31,79,43,123,103,0,0,0,51.6754966,39.2088823,2012
Mentakab,Mal,284.50,na,63,22,73,400,0,0,2,3.484562,102.350255,2012
Teluk,Intan,Mal,269.25,na,43,33,32,505,80,0,0,nodata-lat,nodata-lon,2012
Miraflores,Per,261.25,na,11,101,12,529,0,0,0,nodata-lat,nodata-lon,2012
San,Salvador,El,255.35,na,27,6,11,729,76,0,0,32.795926,-117.2506437,2012
Mpumalanga,SA,244.75,30,23,36,259,133,0,0,0,-29.8039699,30.6314948,2012
Florianopolis,Bra,234.50,na,10,3,73,700,0,0,0,-27.5953778,-48.5480499,2012
Ivano-Frankovsk,Ukr,222.75,na,78,10,21,185,0,0,0,48.922633,24.711117,2012
Karlovac,Cro,194.25,-67,39,52,84,89,0,0,0,45.4928973,15.5552683,2012
New,Glasgow,Sri,Can,193.50,na,60,13,33,176,0,0,0,28.5558863,77.2539484,2012
Newlands,Wellin,NZ,189.25,-66,56,14,35,183,0,0,0,nodata-lat,nodata-lon,2012
Zaporozhye,Ukr,186.00,-21,46,0,113,150,0,0,0,47.8388,35.139567,2012
Langenthal,Swi,181.50,626,31,103,33,0,0,0,0,47.2139734,7.7847334,2012
Taiping,Mal,179.90,94,59,0,30,172,39,0,0,nodata-lat,nodata-lon,2012
Uzgorod,Ukr,175.75,na,42,11,93,137,0,0,0,-22.9251224,-45.4616987,2012
Mafikeng,SA,137.00,-67,0,11,76,352,0,0,0,46.975033,31.994583,2012
Alor,Setar,Mal,134.75,51,15,18,36,273,5,0,0,4.851932,100.7416339,2012
Gaura,Vrndavana,Bra,133.00,-50,8,51,20,224,0,0,0,54.2198695,33.5995432,2012
Oktyabrsky,Rus,123.50,na,43,12,30,42,0,0,0,54.4772015,53.4895394,2012
Santos,Bra,99.50,na,11,0,0,310,0,0,0,19.1130769,72.8262841,2012
Fortaleza,Bra,98.25,24,28,1,0,165,0,0,0,-3.7318616,-38.5266704,2012
Joao,Pessoa,Bra,91.15,-62,2,0,18,309,9,0,0,-7.119495799999999,-34.8450118,2012
Bahau,Mal,86.90,na,22,0,0,170,4,0,0,2.809902,102.398351,2012
Guarulhos,Bra,86.25,na,14,14,16,145,0,0,0,-23.4542498,-46.5337925,2012
Sungei,Siput,Mal,84.00,-69,41,2,0,0,0,0,0,12.9047163,77.5543604,2012
Kuantan,Mal,83.30,-85,10,11,3,196,18,0,0,48.6208,22.287883,2012
Siktivkar,Rus,79.25,na,0,42,35,79,0,0,0,61.6478508,50.8339029,2012
Marilia,Bra,71.85,-72,9,9,23,127,16,0,0,-22.2175846,-49.9505291,2012
Prudente,Bra,71.75,na,11,1,14,167,0,0,0,nodata-lat,nodata-lon,2012
Suzano,Bra,66.00,na,1,1,126,0,0,0,0,-23.5453209,-46.311625,2012
Ternopol,Ukr,57.00,-79,24,4,9,2,0,0,0,49.553517,25.594767,2012
Nibong,Tebal,Mal,56.50,-49,14,1,7,96,0,0,0,5.170128,100.4792231,2012
Seattle,USA,50.75,-46,4,0,13,145,0,0,0,47.6062095,-122.3320708,2012
Rybinsk,Rus,49.65,-95,2,32,2,45,14,0,0,52.3332892,35.3669551,2012
Juiz,de,Fora,Bra,45.00,na,0,0,0,180,0,0,0,nodata-lat,nodata-lon,2012
Tijuana,Mex,43.00,na,5,3,40,40,0,0,0,32.5149469,-117.0382471,2012
Orlando,USA,42.25,na,0,14,15,83,0,0,0,28.5849678,-81.22342479999999,2012
Brazaville,Con,31.50,-34,12,0,0,30,0,0,0,nodata-lat,nodata-lon,2012
Sao,Paulo,Bra,30.25,-85,6,6,6,37,0,0,0,37.30893,-121.932196,2012
Lome,Tog,29.50,na,1,8,39,0,0,0,0,6.1724969,1.2313618,2012
Taman,Sentosa,Mal,29.00,-77,2,0,0,100,0,0,0,nodata-lat,nodata-lon,2012
Melaka,Mal,23.00,-76,10,2,2,0,0,0,0,2.189594,102.2500868,2012
Split,Cro,20.00,-66,3,0,15,26,0,0,0,-25.855978,25.64031,2012
Pula,Cro,18.00,-31,4,8,1,6,0,0,0,44.8666232,13.8495788,2012
Arkadelphia,USA,17.50,na,5,3,2,14,0,0,0,34.1209292,-93.0537839,2012
Sao,Jose,dos,Ca,Bra,16.75,-80,1,0,8,43,0,0,0,37.30893,-121.932196,2012
Rijeka,Cro,14.75,-98,0,0,12,35,0,0,0,45.3270631,14.442176,2012
Rotterdam,Hol,14.00,-93,3,1,4,20,0,0,0,51.9244201,4.4777325,2012
Johore,Mal,12.75,-59,0,2,4,35,0,0,0,nodata-lat,nodata-lon,2012
Lages,Bra,12.50,na,2,1,3,24,0,0,0,-27.8154629,-50.326356,2012
Uberaba,Bra,11.00,-63,2,0,0,28,0,0,0,-19.7473668,-47.93915399999999,2012
