Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Mayapur,Ind,312205.50,-38,125964,24753,28488,77622,4500,750,4151,23.4239515,88.3888704,2015
New,Delhi,Ind,138819.65,-45,41464,4334,23332,111043,121309,0,283,28.5558863,77.2539484,2015
Mumbai-Juhu,Ind,137061.25,-4,58108,5939,12463,34699,0,0,688,19.1130769,72.8262841,2015
Tirupati,Ind,83279.95,-7,27061,4132,4077,55167,64901,1424,0,13.647016,79.4138576,2015
Los,Angeles,USA,81938.55,18,25107,12656,19777,33365,8388,0,45,34.02527630000001,-118.3971843,2015
New,Delhi,Punj.,Ind,72464.45,22,24880,908,597,59203,39156,1464,356,28.5558863,77.2539484,2015
Moscow,Rus,48498.00,-12,18775,4325,8950,8592,0,0,0,55.755826,37.6173,2015
Ujjain,Ind,47023.25,na,12490,12301,12836,13297,0,0,151,23.1615813,75.7991949,2015
RupanugaVedicCo,USA,45367.20,28,15340,10147,2799,6916,14117,0,3,39.0321435,-94.56672979999999,2015
Pune,Ind,42560.35,-28,17584,1042,1438,17021,9087,246,127,18.5201045,73.8794015,2015
Ahmedabad,Ind,35900.25,184,13913,0,2001,18345,5970,995,117,23.0269849,72.5074278,2015
Salem,Ind,30883.25,40,13924,1130,808,1239,3099,464,194,11.7093308,78.0981054,2015
Silicon,Valley,USA,28389.75,4,13761,48,0,3279,0,0,221,13.010473,77.551074,2015
Santiago,Chi,25160.75,84,4219,67,11047,44529,0,0,0,42.8782132,-8.5448445,2015
Surat,Ind,23739.50,-8,6824,1027,512,8964,15762,2627,154,21.247382,72.7916082,2015
Sankirtan,Dham,Ita,22258.90,-45,8813,0,9230,0,179,0,0,43.7695604,11.2558136,2015
London-Soho,Eng,22067.25,93,6190,940,15616,3757,0,0,0,51.515823,-0.1326938,2015
Bhaktivedanta,Eng,21126.75,57,6355,890,13177,3753,0,0,7,19.1130769,72.8262841,2015
Nitai,Gauranga,Bra,20467.50,168,84,19490,1269,700,0,0,0,nodata-lat,nodata-lon,2015
St.,Petersburg,Rus,19465.25,43,6587,3242,2733,6731,0,0,0,16.2993518,80.4131511,2015
Simhacalam,NJN,Ger,18890.00,23,7514,1731,4262,0,0,0,0,48.7316584,13.6908547,2015
Mumbai-Chowpatt,Ind,17883.50,-58,4725,1739,398,25142,1074,54,0,40.2671941,-86.1349019,2015
Sydney-North,Aus,17591.70,120,7900,204,1822,2634,182,0,15,-33.8386344,151.2071142,2015
Denver,USA,15428.05,-18,4786,2385,3107,6999,1678,0,40,39.7392358,-104.990251,2015
Moscow-Jagannat,Rus,15394.25,-36,6990,212,859,3091,0,0,0,55.755826,37.6173,2015
Baltimore,USA,15044.45,102,4909,343,881,13223,11372,0,26,39.267045,-76.73010339999999,2015
Kathmandu,Nep,14356.75,999,0,13292,1111,2037,0,0,0,27.7840013,85.3564899,2015
Curitiba,Bra,12635.25,35,1220,7633,1273,7687,40,0,0,-25.4289541,-49.267137,2015
Kiev,Ukr,12407.50,110,4409,615,3261,5376,0,0,0,50.4501,30.5234,2015
Cueramaro,Mex,12285.25,-19,1919,1318,5872,16773,0,0,0,21.0190145,-101.2573586,2015
TBB,TSKP,USA,10983.75,108,3382,413,4440,6207,350,0,0,nodata-lat,nodata-lon,2015
Gainesville,USA,10704.25,-9,2572,2633,4027,3655,0,0,3,29.6516344,-82.32482619999999,2015
Madurai,Ind,10449.95,-30,4129,105,45,4567,9056,9,4,9.9268646,78.114384,2015
Tirunelveli,Ind,10366.75,70,4135,75,44,4413,8965,0,6,8.727765999999999,77.7236288,2015
Kanyakumari,Ind,10137.00,126,4321,1104,54,258,2615,20,2,14.7189305,77.6043846,2015
