Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Laguna,Beach,USA,18106.55,25,7388,323,498,8351,6620,2,37,33.5400038,-117.7806511,2013
Chelyabinsk,Rus,17407.75,na,3566,3042,5804,17145,455,0,0,55.1644419,61.4368431,2013
Berlin,Ger,16753.50,1,5511,2291,6881,0,0,0,0,52.5448365,13.4942561,2013
Curitiba,Bra,16548.25,na,1424,6544,4478,19653,40,0,0,-25.4289541,-49.267137,2013
Sochi,Rus,16266.75,107,4391,2756,5219,8477,0,0,0,43.60280789999999,39.7341543,2013
Almaty,Kaz,15788.00,-23,2452,3718,6441,15782,0,0,0,43.2220146,76.8512485,2013
Budapest,Hun,15291.30,247,4429,3078,3912,1582,10038,0,0,47.497912,19.040235,2013
Krasnoyarsk,Rus,14754.00,na,2700,3482,5007,13474,0,0,0,56.01528339999999,92.8932476,2013
Prabhupada,Desh,Ita,13848.50,-33,5705,0,4869,2,35,0,0,22.5238452,88.32745720000001,2013
Dnepropetrovsk,Ukr,13826.25,-68,5512,394,991,7651,0,0,0,48.464717,35.046183,2013
Atlanta,USA,13701.90,na,4184,3648,2738,624,1609,0,0,33.77346989999999,-84.3451908,2013
Melbourne,Aus,13419.00,-6,5966,545,698,2372,0,0,0,28.0836269,-80.60810889999999,2013
Brahmapur,Ind,13239.25,na,4198,2923,1199,5163,300,0,0,19.2961115,84.8172254,2013
Philadelphia,USA,13171.55,103,4735,349,275,11611,3123,0,18,40.0603719,-75.1932638,2013
Ekaterinburg,Rus,12802.50,12,2909,2978,3159,9708,0,0,0,56.83892609999999,60.6057025,2013
Kaunas,Lit,12718.50,7,3486,1513,271,16392,0,0,0,54.8985207,23.9035965,2013
Rostov-na-Donu,Rus,12116.25,69,2577,3208,4533,5951,0,0,0,47.2357137,39.701505,2013
Kuala,Lumpur,Mal,11927.00,48,480,0,21934,0,0,0,24,3.139003,101.686855,2013
Barnaul,Rus,11546.00,2,2631,3133,3878,4848,0,0,0,53.3547792,83.76978319999999,2013
Brisbane,Aus,11353.75,390,4422,464,3680,713,275,0,15,-27.54291,152.95828,2013
Milan,Ita,11330.30,-69,2761,0,11599,0,88,0,0,19.8818535,75.36736049999999,2013
Prabhupada,Bhav,Cze,11079.00,9,575,9769,159,322,0,0,0,22.5238452,88.32745720000001,2013
Alachua,USA,11051.20,-4,2505,307,3526,13092,6542,10,5,29.7938144,-82.49442260000001,2013
Vladivostok,Rus,10659.75,2,2553,2794,3178,4683,0,0,0,43.1737387,132.0064506,2013
New,Talavan,USA,10398.75,13,4112,226,2811,2173,0,0,0,28.5558863,77.2539484,2013
Vrajabhumi,Bra,10062.00,na,417,1772,1553,26708,25,0,0,48.1458923,17.1071373,2013
Prague,Cze,9981.50,-19,788,5620,129,10298,1465,0,0,50.0755381,14.4378005,2013
New,Vrajadham-B,Bra,9340.90,na,368,4458,2737,11112,4,0,0,28.5558863,77.2539484,2013
Odessa,Ukr,9199.25,-43,3898,65,699,3955,0,0,0,46.482526,30.7233095,2013
New,Orleans,USA,9008.25,54,38,8,11209,13279,0,0,0,28.5558863,77.2539484,2013
Yaroslavl,Rus,8807.75,na,2784,953,1694,5759,0,0,0,57.62607440000001,39.8844708,2013
Sofia,Bul,8501.00,42,1651,2175,3274,5548,0,0,0,42.6977082,23.3218675,2013
Govindadvipa,Ire,8333.00,na,1254,204,10106,2272,0,0,0,54.19624,-7.57145,2013
Irkutsk,Rus,8196.25,-23,1672,2183,2834,5009,0,0,0,52.28697409999999,104.3050183,2013
Dallas,USA,8050.80,149,2883,936,1322,2682,41,3,5,32.7766642,-96.79698789999999,2013
Wellington,NZ,7728.85,-11,1167,4230,421,3395,1056,0,16,-41.2864603,174.776236,2013
Villa,Vrndavana,Ita,7498.30,-70,2122,0,6346,94,179,21,0,9.076873899999999,-79.5236749,2013
New,Ekacakra,Pr,SVK,7270.75,136,902,5146,0,1283,0,0,0,28.5558863,77.2539484,2013
Kharkov,Ukr,6973.75,-34,1849,160,1854,8755,0,0,0,49.9935,36.230383,2013
Heidelberg,Ger,6955.50,-11,2540,385,2956,0,125,0,0,49.3987524,8.6724335,2013
Essentuki,Rus,6854.75,-16,1483,1686,2783,3245,0,0,0,44.0455121,42.8575232,2013
Kursk,Rus,6454.50,na,2089,1157,1330,1818,0,0,0,51.7091957,36.1562241,2013
Vilnius,Lit,6356.25,-3,1972,669,305,6363,0,0,0,54.6871555,25.2796514,2013
Hillsborough,,N,USA,6300.50,22,2426,225,650,3150,1110,0,11,45.5286088,-122.9893517,2013
Baltimore,USA,6178.20,na,2652,52,241,2112,1649,2,15,39.267045,-76.73010339999999,2013
Monterrey,Mex,6079.75,21,161,770,1977,15997,0,0,0,25.6866142,-100.3161126,2013
Sarajevo,Bos,6032.25,45,2572,658,155,611,0,0,0,43.8562586,18.4130763,2013
Ivanovo,Rus,5904.00,na,1586,778,2325,3166,0,0,0,57.0050671,40.9766453,2013
Donetsk,Ukr,5705.75,-50,1451,594,1687,5465,0,0,0,48.015883,37.80285,2013
Austin,USA,5656.75,na,2497,84,541,1223,25,0,1,30.267153,-97.7430608,2013
Rome,Ita,5557.80,-63,1208,0,6283,0,3,0,0,45.3609559,11.5891328,2013
Mumbai-Kharghar,Ind,5506.60,-94,2332,394,306,1060,306,0,0,40.2671941,-86.1349019,2013
Montevideo,Uru,5489.75,69,33,0,15,21665,0,0,0,-34.9011127,-56.16453139999999,2013
Kishinev,Ukr,5313.50,-29,1089,1112,2113,3868,0,0,0,47.0104529,28.8638103,2013
Simferopol,Ukr,5286.00,-43,1947,349,886,2400,0,0,0,44.952117,34.102417,2013
Vellore,Ind,5131.00,-45,1554,158,0,1730,5794,449,18,12.9008515,79.0465825,2013
Bhakti,Sangam,F,Ukr,5019.75,29,2025,288,870,987,0,0,0,20.951311,72.92532299999999,2013
Ufa,Rus,4917.75,na,1222,736,1703,3545,0,0,0,54.7387621,55.9720554,2013
Franco,da,Rocha,Bra,4630.35,-57,156,1776,313,9541,6,0,0,40.4167754,-3.7037902,2013
Kisumu,Ken,4620.75,116,2101,179,77,805,0,0,2,-0.0917016,34.7679568,2013
Arusha,Tan,4477.75,na,119,192,266,15659,0,0,0,-3.372301,36.6944136,2013
Bon,Accueil,Mau,4459.25,-1,1088,19,273,8511,0,0,0,-20.1756651,57.67897369999999,2013
Itajai,Bra,4449.80,-11,305,625,564,11710,53,0,0,-26.9105964,-48.6709514,2013
Izevsk,Rus,4442.35,19,1509,547,914,1617,161,0,0,56.86186009999999,53.2324285,2013
Gainesville,USA,4432.00,na,966,522,1824,4260,10,0,0,29.6516344,-82.32482619999999,2013
